ticker,company_name,cik,exchange,sector,industry,industry_slug,market_cap,in_sp500,in_nasdaq100,cik_source,market_cap_note
DE,Deere & Company,0000315189,NYSE,Industrials,Industrial Machinery,industrial_machinery,110000000000,True,False,SEC company_tickers.json (cik_str=315189) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
PG,The Procter & Gamble Company,0000080424,NYSE,Consumer Staples,Household & Personal Products,household_personal_products,395000000000,True,False,SEC company_tickers.json (cik_str=80424) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
CL,Colgate-Palmolive Company,0000021665,NYSE,Consumer Staples,Household & Personal Products,household_personal_products,78000000000,True,False,SEC EDGAR company search CIK 0000021665 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
KO,The Coca-Cola Company,0000021344,NYSE,Consumer Staples,Beverages - Non-Alcoholic,beverages_non_alcoholic,285000000000,True,False,SEC company_tickers.json (cik_str=21344) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
PEP,PepsiCo Inc.,0000077476,NASDAQ,Consumer Staples,Beverages - Non-Alcoholic,beverages_non_alcoholic,230000000000,True,True,SEC company_tickers.json (cik_str=77476) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
WMT,Walmart Inc.,0000104169,NYSE,Consumer Staples,Discount Stores,discount_stores,550000000000,True,False,SEC company_tickers.json (cik_str=104169) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
COST,Costco Wholesale Corporation,0000909832,NASDAQ,Consumer Staples,Discount Stores,discount_stores,365000000000,True,True,SEC company_tickers.json (cik_str=909832) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
TGT,Target Corporation,0000027419,NYSE,Consumer Staples,Discount Stores,discount_stores,65000000000,True,False,SEC EDGAR company search CIK 0000027419 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
XOM,ExxonMobil Holdings Corporation,0002115436,NYSE,Energy,Oil & Gas Integrated,oil_gas_integrated,450000000000,True,False,SEC company_tickers.json (cik_str=2115436) successor registrant after July 2026 redomicile; prior issuer CIK 0000034088,Unofficial approximate snapshot — not an SEC figure
CVX,Chevron Corporation,0000093410,NYSE,Energy,Oil & Gas Integrated,oil_gas_integrated,280000000000,True,False,SEC company_tickers.json (cik_str=93410) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
COP,ConocoPhillips,0001163165,NYSE,Energy,Oil & Gas E&P,oil_gas_ep,135000000000,True,False,SEC company_tickers.json (cik_str=1163165) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
EOG,EOG Resources Inc.,0000821189,NYSE,Energy,Oil & Gas E&P,oil_gas_ep,75000000000,True,False,SEC EDGAR company search CIK 0000821189 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SLB,SLB Limited,0000087347,NYSE,Energy,Oil & Gas Equipment,oil_gas_equipment,68000000000,True,False,SEC EDGAR company search CIK 0000087347 (SLB LIMITED/NV) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
NEE,NextEra Energy Inc.,0000753308,NYSE,Utilities,Utilities - Regulated Electric,utilities_regulated_electric,145000000000,True,False,SEC company_tickers.json (cik_str=753308) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
DUK,Duke Energy Corporation,0001326160,NYSE,Utilities,Utilities - Regulated Electric,utilities_regulated_electric,85000000000,True,False,SEC company_tickers.json (cik_str=1326160) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SO,The Southern Company,0000092122,NYSE,Utilities,Utilities - Regulated Electric,utilities_regulated_electric,88000000000,True,False,SEC company_tickers.json (cik_str=92122) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
PLD,Prologis Inc.,0001045609,NYSE,Real Estate,REIT - Industrial,reit_industrial,115000000000,True,False,SEC company_tickers.json (cik_str=1045609) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AMT,American Tower Corporation,0001053507,NYSE,Real Estate,REIT - Telecom Tower,reit_telecom_tower,95000000000,True,False,SEC company_tickers.json (cik_str=1053507) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SPG,Simon Property Group Inc.,0001063761,NYSE,Real Estate,REIT - Retail,reit_retail,55000000000,True,False,SEC company_tickers.json (cik_str=1063761) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
LIN,Linde plc,0001707925,NYSE,Materials,Specialty Chemicals,specialty_chemicals,215000000000,True,False,SEC company_tickers.json (cik_str=1707925) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SHW,The Sherwin-Williams Company,0000089800,NYSE,Materials,Specialty Chemicals,specialty_chemicals,82000000000,True,False,SEC company_tickers.json (cik_str=89800) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
FCX,Freeport-McMoRan Inc.,0000831259,NYSE,Materials,Copper & Metals,copper_metals,70000000000,True,False,SEC company_tickers.json (cik_str=831259) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
